"Kilde: Meldingssystem for smittsomme sykdommer (MSIS), FHI"


"";"Koronavirus med utbruddspotensial, Februar";"Koronavirus med utbruddspotensial, Mars";"Koronavirus med utbruddspotensial, Januar"
Alvdal;1;1;1
Arendal;49;69;26
Birkenes;5;18;0
Bygland;0;0;1
Bykle;0;1;0
Dovre;0;1;1
Eidskog;2;6;23
Elverum;10;58;25
Engerdal;0;2;6
Etnedal;0;1;0
Evje og Hornnes;2;1;2
Farsund;13;19;1
Flekkefjord;1;2;1
Folldal;0;1;0
Froland;5;3;1
Gausdal;1;2;3
Gjerstad;0;0;3
Gjøvik;22;29;51
Gran;11;26;31
Grimstad;14;18;13
Grue;2;18;15
Hamar;11;35;46
Hægebostad;0;0;1
Iveland;7;0;1
Kongsvinger;11;35;28
Kristiansand;428;248;171
Kvinesdal;3;12;0
Lillehammer;11;17;26
Lillesand;19;13;3
Lindesnes;37;21;40
Lom;2;1;1
Lyngdal;6;17;11
Løten;4;11;4
Nord-Aurdal;0;3;0
Nord-Fron;0;3;1
Nord-Odal;6;14;5
Nordre Land;0;6;4
Os;1;0;0
Ringebu;1;10;3
Ringsaker;17;34;15
Risør;2;3;1
Sel;35;2;3
Skjåk;0;1;0
Stange;13;22;23
Søndre Land;1;3;1
Sør-Aurdal;0;3;12
Sør-Fron;0;0;9
Sør-Odal;7;9;15
Tolga;0;1;0
Trysil;7;7;38
Tvedestrand;3;5;10
Tynset;0;6;2
Valle;0;1;0
Vang;2;3;1
Vegårshei;4;1;0
Vennesla;22;5;19
Vestre Slidre;0;2;0
Vestre Toten;4;20;26
Vågå;0;0;6
Våler (Hedmark);0;29;4
Åmli;0;0;1
Åmot;14;2;1
Åseral;0;2;0
Åsnes;0;61;1
Østre Toten;3;44;9
Øyer;0;2;4
Øystre Slidre;0;17;2
Alstahaug;3;1;2
Andøy;0;2;3
Aukra;1;4;0
Aure;0;1;4
Averøy;4;1;13
Beiarn;0;9;0
Bodø;135;159;49
Brønnøy;2;10;2
Bø i Vesterålen;3;5;1
Evenes;0;0;1
Fauske;1;2;5
Fjord;0;29;0
Flakstad;0;0;1
Giske;1;9;4
Gjemnes;0;1;3
Grane;0;0;4
Hadsel;0;2;7
Hamarøy;1;0;6
Hareid;3;4;4
Hemnes;3;1;0
Herøy (Møre og Romsdal);1;2;6
Herøy (Nordland);0;0;9
Hustadvika;2;2;7
Kristiansund;5;6;33
Leirfjord;1;0;1
Lurøy;1;0;0
Meløy;0;1;6
Molde;4;14;44
Moskenes;2;0;1
Narvik;1;6;18
Rana;18;2;84
Rauma;1;3;13
Rødøy;0;0;19
Saltdal;0;4;3
Sande i M og R;0;8;4
Smøla;0;0;2
Sortland;3;3;4
Steigen;1;10;0
Stranda;4;0;7
Sula;13;2;7
Sunndal;13;7;0
Surnadal;1;4;5
Sykkylven;1;0;3
Sømna;0;1;0
Sørfold;6;8;0
Træna;0;0;3
Ulstein;0;1;19
Vanylven;2;4;1
Vefsn;0;3;7
Vega;0;2;0
Vestnes;2;0;63
Vestvågøy;2;3;9
Volda;1;7;8
Vågan;4;5;11
Værøy;3;0;0
Ålesund;17;80;39
Øksnes;0;0;8
Ørsta;0;9;6
Alta;2;3;8
Balsfjord;0;18;2
Bardu;0;2;1
Berlevåg;0;0;1
Bjerkreim;0;2;6
Bokn;0;1;0
Båtsfjord;0;0;2
Dyrøy;0;0;1
Eigersund;3;3;25
Gamvik;1;0;0
Gjesdal;3;6;24
Gratangen;0;0;4
Hammerfest;0;5;3
Harstad;17;40;83
Hasvik;0;0;2
Haugesund;26;455;45
Hjelmeland;0;2;4
Hå;3;1;27
Ibestad;0;3;3
Karlsøy;0;1;1
Karmøy;16;225;38
Kautokeino;0;0;1
Klepp;3;39;32
Kvæfjord;0;2;16
Lebesby;0;0;2
Loppa;1;2;0
Lund;0;0;1
Lyngen;0;1;0
Målselv;0;0;5
Måsøy;8;2;0
Nordkapp;0;0;1
Nordreisa;1;0;0
Oslo;2865;8462;3327
Porsanger;0;1;0
Randaberg;7;17;22
Salangen;0;0;1
Sandnes;13;78;224
Senja;0;6;2
Sokndal;0;2;0
Sola;5;41;99
Stavanger;53;367;462
Storfjord;0;0;1
Strand;3;4;33
Suldal;0;0;4
Sør-Varanger;1;3;7
Sørreisa;2;2;1
Tana;0;2;0
Time;3;13;39
Tjeldsund;0;0;7
Tromsø;51;97;46
Tysvær;5;88;6
Vadsø;2;3;2
Vindafjord;0;11;10
Bamble;4;50;13
Drangedal;0;13;1
Flatanger;0;0;2
Frosta;0;1;0
Frøya;1;15;5
Færder;21;283;45
Grong;0;0;26
